lab_id;age;error;latitude;longitude;SITETYPE
Beta-1388491;7694;130;54.1524042361979;52.6220764681075;Abri
Beta-849563;9828;70;26.9543394853389;2.9837189172759;Abri
Bln-218489;206;60;47.9765669927169;31.0361710989694;Abri
Beta-1376099;350;30;44.2287561376444;0.673810216397259;Abri
Gif-2303556;1879;85;47.1251187192933;4.0291203688588;Abri
Ua-2417107;1084;27;27.7602524365329;30.6780144488605;Abri
OxA-369752;7696;35;33.2425947795464;9.21076749879824;abri
GrA-1966083;798;31;44.9981513676276;11.7076344880089;abri
Gif-319240;3940;40;31.0347571614734;-7.70308627014035;abri
Ly-626666;1941;14;30.864124537706;14.0571851572959;abri
GrN-731900;391;50;31.2880597302644;6.5521831548872;abri
AA-2118231;430;40;41.6526496004504;0.179001371290266;abri
OxA-661546;1733;90;62.5568185251985;42.0969412938583;abri
AA-57545;2283;24;56.7240699369256;-6.1486937588894;abri
Beta-285692;1916;67;57.2123706347521;15.9931441035713;abri
Ua-2556554;5358;35;32.0628318299785;-8.39877741632255;abri
GrN-1822318;2147;100;51.3066902448077;40.303066416341;abri
GrA-2980158;614;120;50.9293843145015;43.2619961413733;abri
OxA-2861922;406;90;61.2903010512571;30.763751726261;abri
GrN-731531;10404;80;33.4977933558008;6.58636164705797;abri
GrN-2237729;3105;80;53.6218154616469;21.4846763109003;abri
GrN-2509103;271;45;70.1482994306517;59.6938848443263;abri
Ua-1746632;5643;45;65.6946233534238;29.4629321815871;abri
GrA-1192721;7653;130;77.2556160243251;14.4368466183757;abri
OxA-1595643;2647;55;26.1277584244416;-10.3799697732807;abri
Bln-1230210;667;60;47.5916653181562;14.8626506373412;abri
GrN-599440;593;50;50.64465278398;15.3829872709595;abri
GrA-244311;2960;100;62.9618001216207;24.9368714880169;abri
KN-1857607;1682;32;55.4492420111624;31.1897961936507;abri
Beta-104082;3178;105;29.4675839728987;12.0298849949443;abri
GrN-2646842;5046;40;26.9916339645414;26.5099411418508;abri
AA-1711613;1316;49;38.1594933518427;28.2581600887261;abri
OxA-111214;156;50;35.5960868973676;10.2150613429225;abri
GrN-2028274;3430;34;58.9171636296619;52.9477841927992;abri
Ua-1743256;1580;90;48.3117272187259;11.5474855279338;abri
OxA-803605;557;43;50.807270462728;20.3423390102017;abri
KN-304019;8613;25;78.8129062700139;12.1951491543569;abri
Gif-1714884;1321;45;55.02951926187;40.1966451252351;abri
OxA-380882;5715;21;38.5558676274992;35.9315064405632;abri
Beta-3056396;1981;90;57.7436586629138;47.4955467192146;abri
KN-904319;861;80;21.2807993827799;21.5374865906367;abri
Bln-1081980;5341;130;58.0096736140004;40.6445992831421;abri
GrA-2669992;2072;150;38.8779212390594;16.6842523660962;abri
OxA-2173735;2131;40;42.6698540660655;-5.09901896419856;abri
Bln-2305701;3640;65;36.9133320333752;39.6773127971843;abri
Beta-2435574;5291;170;30.3980352606054;33.2813446614991;abri
Bln-893152;226;70;26.8410558918397;-0.85272715724204;abri
KN-437092;1722;50;39.5078348624866;15.9548805006707;abri
Ly-1352151;5796;90;43.0011108249555;45.9219774246691;abri
Beta-2285499;686;79;38.3080850726154;29.5685444029179;abri
OxA-2709004;1357;32;52.967698293938;12.0868214992624;abri
OxA-1726720;1683;75;33.7119625419252;-2.45565782772732;abri
KN-1634731;3657;30;20.904650955148;2.66073805648995;abri
KN-2297147;3253;60;65.5077754131748;61.5010204552049;abri
OxA-1596354;2202;50;24.3236739443159;4.32922386318447;abri
Gif-2036257;2526;100;52.4864073233319;11.1374425886425;abri
Beta-182774;575;100;57.0619938669333;15.4055486980882;abri
OxA-1378867;301;110;31.3502832082643;15.4525474735915;abri
AA-3050345;9184;40;48.7506752262223;33.5171635115939;abri
GrN-1096913;2601;160;63.3764974221009;12.4923687532165;abri
OxA-1343841;40;30;38.8764113501364;35.9555499497838;abri
OxA-971959;2102;90;53.7617521685005;43.9888116063886;abris
Gif-1783935;527;50;50.308416068613;42.4751953399567;abris
OxA-270839;1419;100;29.2909686937814;0.578045323823761;abris
Ua-375120;197;55;47.6567267773157;47.6394519490413;abris
Beta-2687957;2826;34;50.1012860465264;16.7067395690699;After b dolmen MVI
OxA-1039813;3149;50;49.0181718874445;40.5191259800258;Aisti
Ua-1552703;8986;40;56.7402302690574;22.5365772063457;Aisti
OxA-2696856;2775;130;67.6168870039937;37.2289765671692;Aisti
OxA-1580253;1503;60;55.2779708645932;27.2396582065458;Alignment
OxA-2025716;3566;40;76.5090477138034;68.6199390924922;Alignment
GrN-2780033;2690;300;35.7270930500152;9.30474040065313;Alignment
OxA-780502;2023;36;26.5024098279951;-4.56949296178675;Alignment
GrN-2167535;3066;49;50.3099929020744;48.4333253608446;Ankkapurha
Beta-2914898;42;52;53.0619351357137;44.1322225151851;Ankkapurha
OxA-12117;9014;80;42.0722336859482;8.98880102827259;Ankkapurha
GrA-2264280;4338;44;73.0010845880104;55.733471472725;Ankkapurha
Beta-2947487;190;90;26.0962413025596;10.8565846357577;Ankkapurha
Bln-2256959;922;40;21.4249510435322;21.8977546316232;Ankkapurha
OxA-1157614;1841;150;55.3015079662428;57.9685543627492;Ankkapurha
Ua-333412;2441;90;21.2164393849324;24.6863279954212;Ankkapurha
OxA-2428264;6155;100;64.169185454523;-19.8178413088646;Autioniemi
KN-506769;1504;34;48.2284732621527;6.51170449723999;b
OxA-1724471;4685;140;26.8402674221365;30.9536311480402;b
GrN-179666;2896;75;24.2897551141439;-14.6463155424597;b
Beta-331667;5434;130;53.423423051052;55.3584725242705;b
KN-2336006;1862;35;58.5727053757908;7.96381936702689;b
Ly-2159517;988;65;52.9348574143171;35.4269799994379;b
Ly-1927893;1596;120;25.2746331505383;1.52436030763171;b
KN-3109863;5667;90;38.6732161723707;-1.23613151504515;b
GrA-2906607;1360;125;45.8159383125424;25.3180436261325;b
GrN-849368;827;45;48.5916236094318;17.8140161185349;b
Gif-284960;1942;25;24.3015139853413;10.3584591712108;b
Ua-2264288;8319;30;33.5397020182181;-5.37667609550286;b
GrN-1751759;1546;80;68.8120558186584;17.8766628217406;b
Ly-3155700;500;80;58.316706414287;26.2774390716425;b
Ua-1247723;1862;70;44.468019516822;18.550420470967;b
OxA-2553797;713;70;49.6201861980751;27.8909326003182;b
KN-2384023;1517;55;51.0416885651593;49.0439749799901;b
KN-544564;1157;50;47.783319715643;-3.06670498522036;b
OxA-1178376;785;30;52.5284171523843;8.77844919268182;b
GrA-2037517;1487;65;22.5018642580559;19.7649566413402;b
GrN-1155780;1222;85;32.3436149761604;14.3189523560639;b
AA-2999946;2474;100;55.5049885329686;54.0529219562461;Balikh
KN-1855853;1733;120;46.9473125387698;20.3088031573746;Balikh
GrN-2501028;168;30;44.9824249569176;21.9064098184014;Balikh
OxA-2644349;333;65;26.3409295680123;9.00969796870372;Balikh
GrN-1854419;1605;45;28.8349924328481;24.54374723684;Balikh
Ly-2485680;2594;150;60.8623600703218;11.3811516941394;Balikh
OxA-2962895;10322;90;46.5492193501429;7.76485717192648;Bank barrow
GrA-1458874;4487;40;51.5017062150518;37.005481389572;Bank barrow
GrA-3136989;267;50;40.5027894824028;-7.71033900408333;beach
AA-1441832;2325;70;52.7569346876474;30.6153947922245;Bläckisåsen
Ly-784293;1176;100;35.2476390227078;4.92778015935754;Bläckisåsen
Ly-544384;1499;60;52.6891103899978;26.8777368873867;bog body
Beta-585311;3404;36;39.8214882956233;38.8857896592659;bog body
GrN-1511133;2316;50;26.6262772687983;18.2066118566738;bog body
Gif-1515737;3531;35;22.4310890027726;35.9748709014031;bog body
Ua-772086;1724;25;36.8221786703808;6.03097089193326;bog body
OxA-360664;7113;25;48.8693248753363;-0.848233192928677;bog body
Ua-2532819;5701;40;61.8678442987254;46.2473099371921;bog find
Gif-2460085;1591;33;26.201751270178;29.4293787495464;bogfind
Bln-1092284;4597;90;35.3615852721888;5.14427238126675;bogfind
KN-663962;965;49;36.0087752307406;0.157398337038732;bogfind
Gif-949006;3366;50;57.0816525265564;49.7052839245786;bogfind
GrA-2829440;1762;130;57.1795107893613;-7.30031217886453;Böle
OxA-1556277;144;35;55.8617847087476;31.780241802529;boulder monument
GrA-519746;3880;70;51.4791259588993;42.8554576604025;Boyne passage grave
OxA-971433;1154;54;46.9334191227605;48.2667776118528;Boyne passage grave
Ua-1696160;469;35;60.375745522888;8.32598074735911;Boyne passage grave
OxA-688249;603;60;29.9543579064213;-2.55206531722721;Boyne passage grave
Ua-604167;558;90;67.2890921750528;22.8456054360618;Boyne passage grave
AA-458068;32;70;61.2963588474072;31.7275778742042;Boyne passage grave
AA-2882396;689;50;20.4763220698152;22.9387063940523;Boyne passage grave
GrA-2906798;3008;65;26.0700508652196;34.1252158830539;Boyne passage grave
Ua-582692;2419;50;62.052050517043;55.6150721201045;Boyne passage grave
GrA-2002041;1858;130;26.1289234250451;5.82857800828531;Boyne passage grave
Ly-125108;8413;120;34.876371942232;8.46867303172658;Boyne passage grave
GrN-436341;3541;39;64.0955260014994;12.3654595410452;Boyne passage grave
OxA-1296858;977;60;39.528582337047;22.0589433720603;Boyne passage grave
OxA-3011690;8177;50;58.4868977633542;36.527756842693;Boyne passage grave
GrN-1105026;489;120;30.3342438229863;-7.27319561786837;Boyne passage grave
Beta-63191;4047;50;48.7827691918161;21.5072148936308;Boyne passage grave
GrN-2723845;641;40;32.46019791876;0.370176259552734;Boyne passage grave
Ua-2024513;531;60;53.8244864097733;-0.976680537067247;Boyne passage grave
Beta-1660212;2089;40;27.704897184792;-8.42502069853428;Boyne passage grave
Gif-507686;2418;90;38.574499620063;34.1722158316337;Boyne passage grave
OxA-2974259;2768;39;49.9246224736264;14.2855102392203;Boyne passage grave
Beta-432211;2897;92;50.281045131386;38.5818807187907;Boyne passage grave
GrN-1766440;925;35;63.727940224357;36.0871168226391;Boyne passage grave
Bln-1882019;1138;150;32.262928751075;-4.48135035227273;Boyne passage grave
Ly-1867575;2663;100;43.3979306848157;21.8021096264024;Boyne passage grave
GrN-3009440;2338;70;47.7200273389825;7.65494999201688;Boyne passage grave
AA-2513636;1134;75;53.9403428615278;35.0651109999135;Boyne passage grave
