FID,Shape *,LAB_REF,C14AGE,C14_STANDA,Period,COUNTY,Country,C14_MATERIAL,SITE_NAME,Overall context,C14_TAXON_,SPECIES_TR,MUNICIPALI,LATITUDE,LONGITUDE,Bioregion
0,Point,T-2899,6920,280,6000-5800 BC,Vest-Agder,Norway,Charcoal,Eg,Other,Pinus,Pinus,Kristiansand,58.1667,7.9833,Atlantic
1,Point,T-10454,8426,245,7500-7000 BC,Akershus,Norway,Charcoal,Habberstad,Settlement site,"Betula, Pinus",Betula,Ullensaker,60.1167,11.25,Boreal
2,Point,T-10454,8426,245,7500-7000 BC,Akershus,Norway,Charcoal,Habberstad,Settlement site,"Betula, Pinus",Pinus,Ullensaker,60.1167,11.25,Boreal
3,Point,T-4838,4330,190,3200-3000 BC,Vestfold,Norway,Charcoal,Auve,Other,"Pinus, Salix, Tilia, Ulmus",Salix,Sandefjord,59.0667,10.2667,Boreal
4,Point,T-4838,4330,190,3200-3000 BC,Vestfold,Norway,Charcoal,Auve,Other,"Pinus, Salix, Tilia, Ulmus",Ulmus,Sandefjord,59.0667,10.2667,Boreal
5,Point,T-4838,4330,190,3200-3000 BC,Vestfold,Norway,Charcoal,Auve,Other,"Pinus, Salix, Tilia, Ulmus",Tilia,Sandefjord,59.0667,10.2667,Boreal
6,Point,T-4838,4330,190,3200-3000 BC,Vestfold,Norway,Charcoal,Auve,Other,"Pinus, Salix, Tilia, Ulmus",Pinus,Sandefjord,59.0667,10.2667,Boreal
7,Point,T-3297,2450,190,600-400 BC,Hedmark,Norway,Bast,Ry,Other,Tilia,Tilia,Hamar,60.8,11.1167,Boreal
8,Point,T-1902,1340,190,600-800 AD,Rogaland,Norway,Charcoal,Stråpa,Iron production site,Pinus,Pinus,Suldal,68.476,6.513,Atlantic
9,Point,T-3433,3130,180,1400-1200 BC,Østfold,Norway,Charcoal,Gunnarstorp,Other,Betula,Betula,Skjeberg,59.2,11.1333,Boreal
10,Point,T-10769,1815,180,200-400 AD,Akershus,Norway,Charcoal,Holstad 1,Other,Betula,Betula,Ås,59.7,10.8,Boreal
11,Point,T-10492,4250,176,3000-2800 BC,Vest-Agder,Norway,Charcoal,Lundevågen,Settlement site,"Betula, Corylus",Corylus,Farsund,58.0833,6.7833,Atlantic
12,Point,T-10492,4250,176,3400-3200 BC,Vest-Agder,Norway,Charcoal,Lundevågen,Settlement site,"Betula, Corylus",Betula,Farsund,58.0833,6.7833,Atlantic
13,Point,T-9241,2170,170,200-1 BC,Oppland,Norway,Charcoal,Fluberg,Other,Betula,Betula,Søndre Land,60.7783,10.2477,Boreal
14,Point,T-1872,8180,170,7500-7000 BC,Østfold,Norway,Hazel nutshell,Idd,Other,Hazel nutshell,Corylus,Halden,59.1,11.4333,Boreal
15,Point,T-5265,1255,165,800-1000 AD,Hedmark,Norway,Charcoal,Hodalen,Iron production site,Pinus,Pinus,Tolga,62.37,11.116,Alpine
16,Point,T-9587,1979,164,1-200 AD,Vestfold,Norway,Charcoal,Vestmanrød,Other,Corylus,Corylus,Borre,59.4167,10.5,Boreal
17,Point,T-9586,1965,160,1-200 AD,Vestfold,Norway,Charcoal,Vestmanrød,Other,Fraxinus,Fraxinus,Borre,59.4167,10.5,Boreal
18,Point,T-1101,680,160,1200-1400 AD,Østfold,Norway,Charcoal,Hunn 1,Other,Pinus,Pinus,Borge,59.1833,11.05,Boreal
19,Point,T-9676,1584,158,400-600 AD,Østfold,Norway,Charcoal,Tingvollheimen,Other,Quercus,Quercus,Tune,59.2833,11.0833,Boreal
20,Point,T-10490,4626,157,3400-3200 BC,Vest-Agder,Norway,Charcoal,Lundevågen,Settlement site,"Corylus, Betula",Corylus,Farsund,58.0833,6.7833,Atlantic
21,Point,T-10490,4626,157,3800-3600 BC,Vest-Agder,Norway,Charcoal,Lundevågen,Settlement site,"Corylus, Betula",Betula,Farsund,58.0833,6.7833,Atlantic
22,Point,T-10773,1132,155,800-1000 AD,Akershus,Norway,Charcoal,Holstad,Other,"Betula, Picea",Picea,Ås,59.7,10.8167,Boreal
23,Point,T-10773,1132,155,800-1000 AD,Akershus,Norway,Charcoal,Holstad,Other,"Betula, Picea",Betula,Ås,59.7,10.8167,Boreal
24,Point,T-10245,1393,154,600-800 AD,Vestfold,Norway,Charcoal,Borre Prestegård,Settlement site,Fraxinus,Fraxinus,Borre,59.4167,10.5,Boreal
25,Point,T-10453,1553,152,400-600 AD,Akershus,Norway,Charcoal,Brattfoss,Other,"Betula, Corylus",Betula,Ullensaker,60.1333,11.2333,Boreal
26,Point,T-10453,1553,152,400-600 AD,Akershus,Norway,Charcoal,Brattfoss,Other,"Betula, Corylus",Corylus,Ullensaker,60.1333,11.2333,Boreal
27,Point,T-12170,1274,152,600-800 AD,Østfold,Norway,Charcoal,Utnehaugen,Settlement site,Betula,Betula,Tune,59.3,11.05,Boreal
28,Point,T-6468,2810,150,1200-1000 BC,Hedmark,Norway,Charcoal,Kolbuvollen,Other,Pinus,Pinus,Engerdal,61.6712,12.0008,Alpine
29,Point,T-1637,1800,150,200-1 BC,Hordaland,Norway,Charcoal,Fet,Iron production site,Betula,Betula,Eidfjord,60.49,7.168,Atlantic
30,Point,T-10054,2031,150,200-1 BC,Vestfold,Norway,Charcoal,Borre Prestegård,Other,Corylus,Corylus,Borre,59.4167,10.5,Boreal
31,Point,T-1104,2250,150,400-200 BC,Østfold,Norway,Charcoal,Hunn 1,Other,Betula,Betula,Borge,59.1833,11.05,Boreal
32,Point,T-1111,1190,150,400-600 AD,Telemark,Norway,Charcoal,Møsstrond,Other,Betula,Betula,Vinje,59.828,8.117,Alpine
33,Point,T-1185,1410,150,600-800 AD,Telemark,Norway,Charcoal,R4,Iron production site,Pinus,Pinus,Vinje,59.828,8.117,Alpine
34,Point,T-10466,636,148,1200-1400 AD,Vestfold,Norway,Charcoal,Fyllpå,Other,"Pinus, Juniper",Juniper,Tønsberg,59.3149,10.3673,Boreal
35,Point,T-10466,636,148,1200-1400 AD,Vestfold,Norway,Charcoal,Fyllpå,Other,"Pinus, Juniper",Pinus,Tønsberg,59.3149,10.3673,Boreal
36,Point,Ua-50983,7059,143,6000-5800 BC,Aust-Agder,Norway,Charcoal,Krøgenes D2,Other, Pinus,Pinus,Arendal,58.4778,8.8164,Boreal
37,Point,T-12167,7117,143,6500-6000 BC,Hedmark,Norway,Hazel nutshell,Persmyrkoia,Iron production site,Hazel nutshell,Corylus,Åmot,61.2,11.45,Boreal
38,Point,T-5923,970,140,1000-1200 AD,Oppland,Norway,Charcoal,Veslefossen,Other,"Picea, Juniper, Alnus, Betula",Picea,Nordre Land,60.879,9.986,Boreal
